,Brands,Model,Variant,Make Year,Fuel,Transmission,Driven Kilometers,Owners,Location,Price
0,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2013,Petrol,Manual,"16,089",2,bengaluru,"3,90,099"
1,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2013,Petrol,Manual,"15,548",1,bengaluru,"4,19,299"
2,hyundai,Hyundai Santro Xing,GL PLUS,2011,Petrol,Manual,"10,252",1,bengaluru,"2,94,199"
3,hyundai,Hyundai Grand i10,ASTA 1.2 AT VTVT,2014,Petrol,Automatic,"21,727",1,bengaluru,"5,29,299"
4,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2012,Petrol,Manual,"43,142",1,bengaluru,"3,74,299"
5,hyundai,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,2014,Petrol,Manual,"23,601",1,bengaluru,"4,94,199"
6,hyundai,Hyundai Eon,MAGNA PLUS,2014,Petrol,Manual,"24,427",1,bengaluru,"3,40,999"
7,hyundai,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,2016,Petrol,Manual,"18,698",1,bengaluru,"5,37,399"
8,hyundai,Hyundai Santro Xing,GLS,2008,Petrol,Manual,"44,365",1,bengaluru,"2,35,799"
9,hyundai,Hyundai i10,SPORTZ 1.1 IRDE2,2015,Petrol,Manual,"23,841",1,bengaluru,"4,33,899"
10,hyundai,Hyundai Eon,MAGNA PLUS,2014,Petrol,Manual,"30,303",1,bengaluru,"3,15,299"
11,hyundai,Hyundai i10,SPORTZ 1.2 AT KAPPA2,2012,Petrol,Automatic,"41,889",2,bengaluru,"3,56,199"
12,hyundai,Hyundai i20,SPORTZ 1.2 O,2010,Petrol,Manual,"53,506",3,bengaluru,"3,27,699"
13,hyundai,Hyundai i10,SPORTZ 1.2,2009,Petrol,Manual,"35,925",1,bengaluru,"3,11,699"
14,hyundai,Hyundai Eon,MAGNA PLUS,2014,Petrol,Manual,"25,857",1,bengaluru,"3,10,099"
15,hyundai,Hyundai i10,SPORTZ 1.2 AT KAPPA2,2013,Petrol,Automatic,"59,237",1,bengaluru,"4,08,299"
16,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2014,Petrol,Manual,"44,700",1,bengaluru,"4,63,799"
17,hyundai,Hyundai Santro Xing,GL PLUS,2011,Petrol,Manual,"16,261",1,bengaluru,"3,19,599"
18,hyundai,Hyundai Santro Xing,GL PLUS,2011,Petrol,Manual,"47,436",1,bengaluru,"3,46,799"
19,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2010,Petrol,Manual,"46,146",1,bengaluru,"3,37,599"
20,hyundai,Hyundai i10,MAGNA 1.2,2010,Petrol,Manual,"43,402",3,bengaluru,"2,65,699"
21,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2019,Petrol,Manual,"11,850",1,bengaluru,"5,73,599"
22,hyundai,Hyundai Eon,ERA PLUS (O),2017,Petrol,Manual,"22,418",1,bengaluru,"3,55,099"
23,hyundai,Hyundai Eon,MAGNA PLUS,2014,Petrol,Manual,"24,024",3,bengaluru,"2,87,899"
24,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2014,Petrol,Manual,"28,276",2,bengaluru,"4,56,999"
25,hyundai,Hyundai i20,MAGNA O 1.2,2011,Petrol,Manual,"59,172",2,bengaluru,"3,88,299"
26,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2011,Petrol,Manual,"53,572",1,bengaluru,"3,67,299"
27,hyundai,Hyundai Grand i10,SPORTS 1.2 VTVT,2016,Petrol,Manual,"5,214",1,bengaluru,"5,38,099"
28,hyundai,Hyundai NEW SANTRO,1.1 MAGNA MT,2019,Petrol,Manual,"8,789",1,bengaluru,"4,92,999"
29,hyundai,Hyundai Grand i10,SPORTS 1.2 VTVT,2016,Petrol,Manual,"13,532",1,bengaluru,"5,26,699"
30,hyundai,Hyundai i20,SPORTZ 1.2 VTVT,2014,Petrol,Manual,"49,583",1,bengaluru,"5,19,199"
31,hyundai,Hyundai Santro Xing,GLS,2013,Petrol,Manual,"45,209",2,bengaluru,"2,87,099"
32,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2012,Petrol,Manual,"65,598",1,bengaluru,"3,65,299"
33,hyundai,Hyundai i10,SPORTZ 1.1 IRDE2,2015,Petrol,Manual,"39,456",1,bengaluru,"4,05,599"
34,hyundai,Hyundai Grand i10,SPORTS 1.2 VTVT,2016,Petrol,Manual,"31,258",1,bengaluru,"4,85,199"
35,hyundai,Hyundai i10,SPORTZ 1.1 IRDE2,2014,Petrol,Manual,"42,135",1,bengaluru,"3,57,899"
36,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2012,Petrol,Manual,"54,131",1,bengaluru,"3,65,999"
37,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2017,Petrol,Manual,"21,131",2,bengaluru,"5,41,199"
38,hyundai,Hyundai i10,MAGNA 1.2,2010,Petrol,Manual,"55,588",1,bengaluru,"2,85,699"
39,hyundai,Hyundai NEW SANTRO,1.1 SPORTS AMT,2020,Petrol,Manual,"6,248",1,bengaluru,"6,25,399"
40,hyundai,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,2015,Petrol,Manual,"35,879",2,bengaluru,"4,69,299"
41,hyundai,Hyundai Grand i10,ASTA 1.2 (O) VTVT,2016,Petrol,Manual,"16,201",1,bengaluru,"5,30,599"
42,hyundai,Hyundai i10,MAGNA 1.2 KAPPA2,2011,Petrol,Manual,"49,870",2,bengaluru,"3,37,999"
43,hyundai,Hyundai Eon,MAGNA PLUS,2015,Petrol,Manual,"43,825",2,bengaluru,"2,61,099"
44,hyundai,Hyundai NEW SANTRO,1.1 SPORTS AMT,2018,Petrol,Manual,"17,323",1,bengaluru,"5,38,199"
45,hyundai,Hyundai Grand i10,MAGNA 1.2 VTVT,2016,Petrol,Manual,"34,448",2,bengaluru,"4,26,499"
46,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2013,Petrol,Manual,"56,861",2,bengaluru,"3,59,699"
47,hyundai,Hyundai i20,SPORTZ 1.2 O,2010,Petrol,Manual,"32,339",1,bengaluru,"4,31,799"
48,hyundai,Hyundai i10,SPORTZ 1.2,2010,Petrol,Manual,"49,583",1,bengaluru,"3,24,499"
49,hyundai,Hyundai i10,SPORTZ 1.1 IRDE2,2014,Petrol,Manual,"49,235",2,bengaluru,"3,73,199"
50,hyundai,Hyundai Grand i10,ASTA 1.2 (O) VTVT,2015,Petrol,Manual,"43,106",1,bengaluru,"5,04,399"
51,hyundai,Hyundai Grand i10,SPORTZ DUAL TONE 1.2 VTVT,2018,Petrol,Manual,"10,962",1,bengaluru,"5,80,999"
52,hyundai,Hyundai i10,SPORTZ 1.2,2010,Petrol,Manual,"62,086",2,bengaluru,"3,02,199"
53,hyundai,Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT,2020,Petrol,,"2,259",1,bengaluru,"7,45,599"
54,hyundai,Hyundai Grand i10,SPORTS 1.2 VTVT,2017,Petrol,Manual,"14,308",2,bengaluru,"5,39,699"
55,hyundai,Hyundai i20,SPORTZ 1.2 VTVT,2012,Petrol,Manual,"43,273",1,bengaluru,"4,80,499"
56,hyundai,Hyundai Elite i20,ASTA 1.4 CRDI,2015,Diesel,Manual,"63,161",1,bengaluru,"7,11,899"
57,hyundai,Hyundai Elite i20,ASTA 1.2,2016,Petrol,Manual,"29,461",1,bengaluru,"6,73,899"
58,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2015,Petrol,Manual,"49,207",1,bengaluru,"4,80,099"
59,hyundai,Hyundai i10,MAGNA 1.2,2010,Petrol,Manual,"67,892",1,bengaluru,"2,87,899"
60,hyundai,Hyundai i10,SPORTZ 1.2 AT,2009,Petrol,Automatic,"94,539",2,bengaluru,"2,65,599"
61,hyundai,Hyundai Santro Xing,GLS,2008,Petrol,Manual,"73,378",1,bengaluru,"2,51,899"
62,hyundai,Hyundai Verna,FLUIDIC 1.6 SX VTVT,2017,Petrol,Manual,"48,240",1,bengaluru,"7,58,599"
63,hyundai,Hyundai i10,SPORTZ 1.2,2010,Petrol,Manual,"78,003",2,bengaluru,"3,27,099"
64,hyundai,Hyundai Grand i10,SPORTS 1.2 VTVT,2016,Petrol,Manual,"25,000",1,bengaluru,"4,98,299"
65,hyundai,Hyundai i10,MAGNA 1.2 KAPPA2,2011,Petrol,Manual,"71,708",2,bengaluru,"3,07,499"
66,hyundai,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,2015,Petrol,Manual,"10,520",1,bengaluru,"5,40,399"
67,hyundai,Hyundai Santro Xing,GL PLUS,2011,Petrol,Manual,"69,819",2,bengaluru,"2,39,199"
68,hyundai,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,2014,Petrol,Manual,"37,259",1,bengaluru,"4,91,299"
69,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2014,Petrol,Manual,"26,578",1,bengaluru,"4,80,599"
70,hyundai,Hyundai i20,MAGNA O 1.2,2013,Petrol,Manual,"21,365",1,bengaluru,"5,02,699"
71,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2016,Petrol,Manual,"29,083",1,bengaluru,"5,02,799"
72,hyundai,Hyundai Elite i20,SPORTZ 1.2,2015,Petrol,Manual,"50,622",2,bengaluru,"4,91,799"
73,hyundai,Hyundai Grand i10,SPORTS 1.2 VTVT,2015,Petrol,Manual,"59,134",2,bengaluru,"4,30,399"
74,hyundai,Hyundai Xcent,SX 1.2 OPT,2014,Petrol,Manual,"89,674",1,bengaluru,"4,26,999"
75,hyundai,Hyundai i20,ASTA 1.4 AT VTVT,2010,Petrol,,"64,773",1,bengaluru,"3,84,799"
76,hyundai,Hyundai Elite i20,ASTA 1.4 CRDI,2015,Diesel,Manual,"21,983",2,bengaluru,"6,62,499"
77,hyundai,Hyundai Elite i20,ASTA 1.2 (O),2017,Petrol,Manual,"41,590",2,bengaluru,"6,77,399"
78,hyundai,Hyundai i10,SPORTZ 1.2 AT KAPPA2,2013,Petrol,Automatic,"22,201",1,bengaluru,"4,49,699"
79,hyundai,Hyundai Grand i10,MAGNA 1.2 VTVT,2017,Petrol,Manual,"36,778",1,bengaluru,"4,60,099"
80,hyundai,Hyundai i20,ASTA 1.4 AT VTVT,2011,Petrol,Automatic,"90,421",3,bengaluru,"3,77,199"
81,hyundai,Hyundai Verna,FLUIDIC 1.6 SX VTVT,2013,Petrol,Manual,"51,051",3,bengaluru,"5,10,099"
82,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2013,Petrol,Manual,"35,702",1,bengaluru,"3,88,799"
83,hyundai,Hyundai Elite i20,ASTA 1.2 (O),2016,Petrol,Manual,"38,534",2,bengaluru,"6,87,699"
84,hyundai,Hyundai Verna,TRANSFORM 1.6 VTVT,2010,Petrol,Manual,"81,333",3,bengaluru,"2,76,599"
85,hyundai,Hyundai Santro Xing,GL,2008,Petrol + LPG,Manual,"60,152",1,bengaluru,"2,14,599"
86,hyundai,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,2017,Petrol,Manual,"34,278",1,bengaluru,"5,24,799"
87,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2012,Petrol,Manual,"1,08,611",1,bengaluru,"3,17,499"
88,hyundai,Hyundai i10,MAGNA 1.2 AT,2009,Petrol,Automatic,"26,687",1,bengaluru,"2,97,499"
89,hyundai,Hyundai Elite i20,MAGNA 1.2,2016,Petrol,Manual,"47,184",1,bengaluru,"5,63,999"
90,hyundai,Hyundai i20,ASTA 1.2,2010,Petrol,Manual,"1,21,600",1,bengaluru,"3,80,199"
91,hyundai,Hyundai Grand i10,MAGNA 1.2 VTVT,2013,Petrol,Manual,"77,006",2,bengaluru,"3,73,799"
92,hyundai,Hyundai VENUE,1.0L Turbo GDI SX(O) MT,2019,Petrol,Manual,"10,683",1,bengaluru,"10,97,799"
93,hyundai,Hyundai i10,SPORTZ 1.1 IRDE2,2014,Petrol,Manual,"61,003",2,bengaluru,"4,05,199"
94,hyundai,Hyundai Elite i20,1.2 MAGNA PLUS VTVT,2019,Petrol,Manual,"13,805",1,bengaluru,"7,13,299"
95,hyundai,Hyundai i10,SPORTZ 1.2,2009,Petrol,Manual,"65,199",3,bengaluru,"2,59,199"
96,hyundai,Hyundai i20,MAGNA O 1.2,2011,Petrol,Manual,"76,229",1,bengaluru,"3,83,699"
97,hyundai,Hyundai i10,MAGNA 1.2 KAPPA2,2010,Petrol,Manual,"84,426",1,bengaluru,"2,96,299"
98,hyundai,Hyundai VENUE,1.0 TURBO GDI SX+ AT,2019,Petrol,Automatic,"3,381",1,bengaluru,"12,20,999"
99,hyundai,Hyundai Santro Xing,GL PLUS,2013,Petrol,Manual,"71,938",3,bengaluru,"2,41,399"
100,hyundai,Hyundai GRAND I10 NIOS,ASTA PETROL AMT,2020,Petrol,,"8,509",1,bengaluru,"7,62,799"
101,hyundai,Hyundai NEW SANTRO,1.1 SPORTS AMT,2019,Petrol,Manual,"31,026",1,bengaluru,"5,42,999"
102,hyundai,Hyundai VENUE,1.0 TURBO GDI SX+ AT,2019,Petrol,Automatic,"9,598",1,bengaluru,"11,86,399"
103,hyundai,Hyundai Santro Xing,GLS,2008,Petrol,Manual,"20,719",1,bengaluru,"2,17,899"
104,hyundai,Hyundai Santro Xing,XO ERLX EURO III,2007,Petrol,Manual,"69,390",2,bengaluru,"1,93,799"
105,hyundai,Hyundai Santro Xing,GLS,2008,Petrol,Manual,"70,760",2,bengaluru,"2,14,699"
106,hyundai,Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,2017,Petrol,Manual,"46,722",1,bengaluru,"5,91,199"
107,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2011,Petrol,Manual,"81,632",2,bengaluru,"3,68,899"
108,hyundai,Hyundai Santro Xing,GLS,2010,Petrol + LPG,Manual,"73,792",3,bengaluru,"2,23,199"
109,hyundai,Hyundai Creta,1.6 SX CRDI,2016,Diesel,,"1,13,273",1,bengaluru,"8,17,699"
110,hyundai,Hyundai i10,MAGNA,2008,Petrol,Manual,"87,637",3,bengaluru,"2,27,399"
111,hyundai,Hyundai Elite i20,ASTA 1.2 (O),2016,Petrol,Manual,"89,984",1,bengaluru,"6,09,999"
112,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2013,Petrol,Manual,"71,850",1,bengaluru,"3,92,499"
113,hyundai,Hyundai i10,SPORTZ 1.2 KAPPA2,2012,Petrol,Manual,"82,823",1,bengaluru,"3,41,799"
114,hyundai,Hyundai Elite i20,ASTA 1.2 DUAL TONE,2018,Petrol,Manual,"27,247",1,bengaluru,"7,72,099"
115,hyundai,Hyundai Xcent,S 1.2 OPT,2014,Petrol,Manual,"79,119",1,bengaluru,"4,06,999"
116,hyundai,Hyundai Santro Xing,GLS,2007,Petrol,Manual,"8,437",1,bengaluru,"2,44,999"
117,hyundai,Hyundai i20,ASTA 1.2,2009,Petrol,Manual,"82,548",2,bengaluru,"2,91,099"
118,hyundai,Hyundai i20,ASTA 1.2,2009,Petrol,Manual,"88,977",2,bengaluru,"3,31,199"
119,hyundai,Hyundai i20,MAGNA O 1.2,2010,Petrol,Manual,"1,00,253",2,bengaluru,"3,69,599"
120,hyundai,Hyundai Elite i20,ASTA 1.2 (O),2019,Petrol,Manual,"51,371",1,bengaluru,"7,37,399"
121,hyundai,Hyundai Tucson New,2WD AT GLS DIESEL,2018,Diesel,Automatic,"72,527",2,bengaluru,"15,30,799"
122,hyundai,Hyundai Santro Xing,GLS,2010,Petrol,Manual,"97,395",1,bengaluru,"2,45,599"
123,hyundai,Hyundai i10,MAGNA 1.1 IRDE2,2008,Petrol,Manual,"70,527",2,bengaluru,"2,48,699"
124,hyundai,Hyundai i20,ASTA 1.2,2009,Petrol,Manual,"1,09,610",1,bengaluru,"3,30,699"
125,hyundai,Hyundai i10,SPORTZ 1.2,2009,Petrol,Manual,"1,02,544",2,bengaluru,"2,50,799"
126,hyundai,Hyundai i10,MAGNA 1.2 KAPPA2,2011,Petrol,Manual,"1,06,988",1,bengaluru,"2,94,199"
127,hyundai,Hyundai i20,SPORTZ 1.2 O,2010,Petrol,Manual,"91,010",2,bengaluru,"4,08,599"
128,hyundai,Hyundai Elite i20,ASTA 1.2,2015,Petrol,Manual,"1,02,624",1,bengaluru,"5,50,299"
129,hyundai,Hyundai i20,SPORTZ 1.2 O,2011,Petrol,Manual,"1,38,398",2,bengaluru,"3,23,999"
130,hyundai,Hyundai Grand i10,ASTA 1.1 (O) CRDI,2015,Diesel,Manual,"76,861",1,bengaluru,"6,10,399"
131,hyundai,Hyundai Santro Xing,XO ERLX EURO III,2007,Petrol,Manual,"82,791",1,bengaluru,"1,98,199"
132,hyundai,Hyundai i20,MAGNA O 1.2,2013,Petrol,Manual,"25,453",1,bengaluru,"4,70,099"
133,hyundai,Hyundai Xcent,S 1.2 OPT,2014,Petrol,Manual,"12,270",1,bengaluru,"4,98,499"
134,hyundai,Hyundai Eon,MAGNA PLUS,2014,Petrol,Manual,"17,166",1,bengaluru,"3,49,799"
135,hyundai,Hyundai Eon,ERA PLUS,2014,Petrol,Manual,"31,491",2,bengaluru,"2,70,399"
136,hyundai,Hyundai Grand i10,SPORTS 1.2 VTVT,2016,Petrol,Manual,"32,694",1,bengaluru,"4,59,499"
137,hyundai,Hyundai Eon,MAGNA PLUS,2015,Petrol,Manual,"18,405",2,bengaluru,"2,90,299"
138,hyundai,Hyundai Eon,MAGNA PLUS,2014,Petrol,Manual,"25,897",2,bengaluru,"3,19,099"
139,hyundai,Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT,2020,Petrol,Automatic,"5,456",1,bengaluru,"7,48,499"
140,hyundai,Hyundai i10,SPORTZ 1.2 AT,2009,Petrol,Automatic,"34,607",1,bengaluru,"3,24,599"
141,hyundai,Hyundai i10,MAGNA 1.2,2010,Petrol,Manual,"66,322",1,bengaluru,"2,91,699"
142,hyundai,Hyundai NEW SANTRO,1.1 SPORTS AMT,2019,Petrol,Automatic,"10,854",1,bengaluru,"5,64,799"
143,hyundai,Hyundai Grand i10,ASTA 1.2 (O) VTVT,2014,Petrol,Manual,"25,381",1,bengaluru,"5,23,699"
144,hyundai,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,2017,Petrol,Manual,"24,590",2,bengaluru,"4,91,099"
145,hyundai,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,2016,Petrol,Manual,"18,546",2,bengaluru,"4,71,199"
146,hyundai,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT OPT,2015,Petrol,Manual,"33,077",1,bengaluru,"5,15,799"
147,hyundai,Hyundai VENUE,S MT 1.2 KAPPA,2020,Petrol,Manual,"6,615",1,bengaluru,"8,41,699"
148,hyundai,Hyundai Santro Xing,GLS,2008,Petrol,Manual,"33,184",2,bengaluru,"2,14,899"
149,hyundai,Hyundai i20,MAGNA 1.2 VTVT,2009,Petrol,Manual,"42,118",2,bengaluru,"3,39,799"
150,hyundai,Hyundai NEW SANTRO,1.1 SPORTS AMT,2019,Petrol,Automatic,"8,560",1,bengaluru,"5,83,099"
151,hyundai,Hyundai Grand i10,ASTA 1.2 VTVT,2018,Petrol,Manual,"31,187",1,bengaluru,"5,72,899"
152,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2016,Petrol,Manual,"37,823",1,bengaluru,"4,98,899"
153,hyundai,Hyundai i10,SPORTZ 1.2 AT KAPPA2,2013,Petrol,Automatic,"25,060",1,bengaluru,"4,67,299"
154,hyundai,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,2014,Petrol,Manual,"30,101",1,bengaluru,"4,82,999"
155,hyundai,Hyundai Grand i10,ASTA 1.2 (O) VTVT,2014,Petrol,Manual,"23,408",1,bengaluru,"5,19,499"
